,index,token_idx,token
0,0,0,Em
1,0,1,được
2,0,2,làm
3,0,3,fan
4,0,4,cứng
5,0,5,luôn
6,0,6,rồi
7,0,7,nè
8,0,8,❤
9,0,9,️
10,0,10,reaction
11,0,11,quá
12,0,12,hay
13,0,13,quá
14,0,14,cute
15,0,15,coi
16,0,16,mấy
17,0,17,giờ
18,0,18,này
19,0,19,quá
20,0,20,hợp lí
21,0,21,=]]]
22,1,0,Đúng
23,1,1,là
24,1,2,bọn
25,1,3,mắt
26,1,4,híp
27,1,5,lò xo
28,1,6,thụt
29,1,7,:)))
30,1,8,bên
31,1,9,việt nam
32,1,10,t
33,1,11,cái
34,1,12,này
35,1,13,ra
36,1,14,cách
37,1,15,đây
38,1,16,10
39,1,17,năm
40,1,18,r
41,1,19,và
42,1,20,bọn
43,1,21,t
44,1,22,gọi
45,1,23,là
46,1,24,cái
47,1,25,L
48,1,26,:)))
49,2,0,@username
50,2,1,giờ
51,2,2,giống
52,2,3,thằng
53,2,4,sida
54,2,5,hơn
55,2,6,à
56,3,0,CÔN ĐỒ
57,3,1,CỤC SÚC
58,3,2,VÔ NHÂN
59,3,3,TÍNH
60,3,4,ĐỀ
61,3,5,NGHI
62,3,6,VN
63,3,7,.
64,3,8,NHÀ NƯỚC
65,3,9,VN
66,3,10,BAN
67,3,11,THƯỞNG
68,3,12,.
69,4,0,Từ
70,4,1,lý thuyết
71,4,2,đến
72,4,3,thực hành
73,4,4,là
74,4,5,cả
75,4,6,1
76,4,7,câu chuyện
77,4,8,dài
78,4,9,=))
79,5,0,Coronavirus
80,5,1,is
81,5,2,manmade
82,6,0,Đố
83,6,1,chúng
84,6,2,m
85,6,3,nhận
86,6,4,ra
87,6,5,ai
88,7,0,Lúp
89,7,1,lúp
90,7,2,như
91,7,3,chó
92,7,4,.
93,8,0,殺 殺 殺
94,9,0,Thế mà
95,9,1,mình
96,9,2,nói
97,9,3,mấy
98,9,4,thằng
99,9,5,bắc
100,9,6,kì
101,9,7,","
102,9,8,bọn
103,9,9,đó
104,9,10,lại
105,9,11,bâu
106,9,12,vô
107,9,13,nói
108,9,14,mình
109,9,15,phân biệt
110,9,16,!
111,9,17,:D
112,10,0,Được
113,10,1,anh
114,10,2,ưi
115,10,3,","
116,10,4,lâu
117,10,5,rồi
118,10,6,không
119,10,7,nghe
120,10,8,phúc
121,10,9,du
122,10,10,rap
123,10,11,藍
124,11,0,Cắt
125,11,1,cho
126,11,2,trẻ
127,11,3,trâu
128,11,4,bớt
129,11,5,thui
130,11,6,mà
131,11,7,
132,11,8,
133,11,9,
134,12,0,Nghe
135,12,1,rất
136,12,2,vô lí
137,12,3,nhưng
138,12,4,cực kì
139,12,5,thuyết phục
140,13,0,chán
141,13,1,ghê
142,13,2,hong
143,13,3,có
144,13,4,pé
145,13,5,2
146,13,6,mới
147,13,7,máu
148,13,8,được
149,13,9,","
150,13,10,hâhha
151,14,0,Sao
152,14,1,t
153,14,2,gửi
154,14,3,đc
155,14,4,bây
156,15,0,thế
157,15,1,đấy
158,15,2,làm
159,15,3,j
160,15,4,bọn
161,15,5,nó
162,15,6,bọn
163,15,7,nó
164,15,8,có
