dataset,type,idx,sent_idx,text,label_id
ViHSD,train,0,0,Em được làm fan cứng luôn rồi nè ❤ ️ reaction quá hay quá cute coi mấy giờ này quá hợp lí =]]],0
ViHSD,train,1,0,Đúng là bọn mắt híp lò xo thụt :))) bên việt nam t cái này ra cách đây 10 năm r và bọn t gọi là cái L :))),2
ViHSD,train,2,0,@username giờ giống thằng sida hơn à,0
ViHSD,train,3,0,CÔN ĐỒ CỤC SÚC VÔ NHÂN TÍNH ĐỀ NGHI VN . NHÀ NƯỚC VN BAN THƯỞNG .,2
ViHSD,train,4,0,Từ lý thuyết đến thực hành là cả 1 câu chuyện dài =)),0
ViHSD,train,5,0,Coronavirus is manmade,0
ViHSD,train,6,0,Đố chúng m nhận ra ai,0
ViHSD,train,7,0,Lúp lúp như chó .,1
ViHSD,train,8,0,🥰 🥰 🥰,0
ViHSD,train,9,0,"Thế mà mình nói mấy thằng bắc kì , bọn đó lại bâu vô nói mình phân biệt ! :D",2
ViHSD,train,10,0,"Được anh ưi , lâu rồi không nghe phúc du rap 🤣",0
ViHSD,train,11,0,Cắt cho trẻ trâu bớt thui mà 😂 😂 😂,0
ViHSD,train,12,0,Nghe rất vô lí nhưng cực kì thuyết phục,0
ViHSD,train,13,0,"chán ghê hong có pé 2 mới máu được , hâhha",0
ViHSD,train,14,0,Sao t gửi đc bây,0
ViHSD,train,15,0,thế đấy làm j bọn nó bọn nó có quyền nên làm j chả được :v,0
ViHSD,train,16,0,Loại này cho dựa cột thôi chứ độ thế nào,2
ViHSD,train,17,0,Thuong wa di,0
ViHSD,train,18,0,Dạy bơi cho cá Bơi thì đương nhiên nó bơi được vì nó là cá Làm sao cho nó sống được mới là điều người dân đang quan tâm .,1
ViHSD,train,19,0,Ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá,2
ViHSD,train,20,0,Bamtp chạy ngay ddi :)),0
ViHSD,train,21,0,Cứ đăng cái ảnh 2 bố con là y như rằng bị đổi,0
ViHSD,train,22,0,"Dàn Táo năm nay làm chương trình TÁO QUÂN VI HÀNH nhé mn , phát sóng 9h tối 23 Tết trên VTV3 :))",0
ViHSD,train,23,0,Thật chán với chế độ quản lý dân sinh,2
ViHSD,train,24,0,Đời vô thường lắm .. sống phải tu tâm tích đức cô oi .. khẩu nghiệp quá cô ơi,0
ViHSD,train,25,0,"có ai biết làm cách nào để tìm lại được , đồng đội , đồng chí , hay bạn hữu cùng đơn vị của người trong bức ảnh không .",0
ViHSD,train,26,0,Sống chậm lại các mày ?,0
ViHSD,train,27,0,Chương trình quảng cáo xin đc bắt đầu,0
ViHSD,train,28,0,@username đớp cả của cháu Thứ mắc dạy,2
ViHSD,train,29,0,Nhậu cái đm chúng mày lũ chó hại dân hại nước,2
ViHSD,train,30,0,@username tối cao,0
ViHSD,train,31,0,mài có óc để suy nghĩ ko add ? cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu ?,2
ViHSD,train,32,0,chuẩn,0
ViHSD,train,33,0,Chỉ 3 vàng ngọc như con heo nọc nhà e,2
ViHSD,train,34,0,phải thầy k ta,0
ViHSD,train,35,0,Cảnh sát chính tả comingg nè :)),0
ViHSD,train,36,0,Xuân đương tới nghĩa là xuân đương qua,0
ViHSD,train,37,0,Nhìn chúng nó cmt mà đắng bạn à =))))))),0
ViHSD,train,38,0,Ý thức còn ít hơn cả số tiền trong túi t,1
ViHSD,train,39,0,Em yêu anh từ thuở tóc dài,0
ViHSD,train,40,0,theo chân mấy anh hàn quốc rồi :,0
ViHSD,train,41,0,"Lương tháng 7 , 8 củ thui ak con trai , nhưng bố vẫn ăn tạm cua hoàng đế để sống wa ngày thôi con trai ak",0
ViHSD,train,42,0,Mệt quá thầy ạ 😞,0
ViHSD,train,43,0,@username @username còn j vui hơn cà khịa :)))))),0
ViHSD,train,44,0,chị Hôm nay đẹp quá,0
ViHSD,train,45,0,Xem r nè,0
ViHSD,train,46,0,@username nghèo là rõ 🤦,0
ViHSD,train,47,0,xxx video 🔞,1
ViHSD,train,48,0,thầy đéo xoá kênh kêu gọi học trò report cho bay kênh thiệt luôn :)),2
ViHSD,train,49,0,Anh ba láo nháo là Tú xiên giờ,2
ViHSD,train,50,0,Người ta bị lường gạt 1tỷ mấy còn êm ru mà đằng này hơn trăm triệu thôi mà la um xùm hà,0
ViHSD,train,51,0,Tú thích hoa hồng và mùa đông được @username đâm phía sau mông,0
ViHSD,train,52,0,"mẹ , sao bộ k mở cửa hàng kinh doanh bán bình luôn cho dân , ko lại phạt vì mua phải bình đểu :)))",2
ViHSD,train,53,0,Cuối cùng anh đã trở lại .,0
ViHSD,train,53,1,Em tưởng anh biến mất luôn cho em mừng 🙂 thiệt là tình ( nội dung mang tính giải trí .,0
ViHSD,train,53,2,Ko có ý anti hay ghét ai ),0
ViHSD,train,54,0,Chi 3 cai gi cung co nhung cai lờ la chi 3 hét kiếp nay cung k bao gio co .,2
ViHSD,train,55,0,Vừa tăng lương phát biết ngay,0
ViHSD,train,56,0,Ai là cảm tình diên like,0
ViHSD,train,57,0,Xin tộc trưởng hãy cho @username lợn thần ra trận ! Đảm bảo sẽ có chiến thắng,0
ViHSD,train,58,0,Đấu khẩu - Chim lợn 👍,1
ViHSD,train,59,0,Cai miệng nói không sợ bị hậu quả,1
ViHSD,train,60,0,4 năm rồi à,0
ViHSD,train,61,0,Đầu 2 thứ tóc rồi mà còn bị trẻ trâu @username lừa 🤣,0
ViHSD,train,62,0,Nguoi mien trung nhu e chi ngoi xem cac bac chui nhau thoi :)),0
ViHSD,train,63,0,@username phục cái máu lồn,2
ViHSD,train,64,0,Quan va Dan nhu nhau phai ton trong phap luat Khong thuen vi mot ai ?,0
ViHSD,train,65,0,Chúc abe 20-10 vui vẻ,0
ViHSD,train,66,0,ko vào thì lấy đâu ra vốn vay FDI cho các anh đút túi ?,0
ViHSD,train,67,0,Việc nhẹ lương cao mình xin nhường cho những người thất nghiệp :)),0
ViHSD,train,68,0,B52 If J97,0
ViHSD,train,69,0,Chào người anh em,0
ViHSD,train,70,0,@username nghiệp nó quật m chết bh,0
ViHSD,train,71,0,"@username bên nó ai bị hoặc nghi bị thì tự cách ly tự điểu trị nhé , nó còn không cho xét nghiệm cơ , chỉ khi nào bạn chết thì nó mới khám nghiệm để kết luận có do virus hay không , ở ngoài đường mà đeo khẩu trang bọn Anh nó còn đấm vào mặt cho chứ ở đó mà điều trị",0
ViHSD,train,72,0,9x5 = 55 chứ ôg a già 😆,0
ViHSD,train,73,0,@username ko mvp đội mình thì là mvp của đội bạn :))),0
ViHSD,train,74,0,Xin video với bro 😄,0
ViHSD,train,75,0,Bị gì bị lắm thế,0
ViHSD,train,76,0,Du học sinh Úc cơ ấy =)),0
ViHSD,train,77,0,Ôi vãi a quang :v,0
ViHSD,train,78,0,Chờ đợi 17 nồi bánh chưng mới đc fan cứng nên cmt cho kh mất chứ ko biết chơi GA,0
ViHSD,train,79,0,Khá @username,0
ViHSD,train,80,0,Giúp e làm đẹp với . E ko có điều kiện Ko có khả năg nhưg thấy có người đẹp e rất thích,0
ViHSD,train,81,0,@username xuất sắc ... nhưng em lại làm mấy bạn kia buồn thêm 🤣 🤣 🤣,0
ViHSD,train,82,0,"Hoan nghênh ông @username có tư tưởng tiến bộ , không chống cộng sản Việt Nam nữa .",0
ViHSD,train,82,1,Chỉ có quên đi quá khứ để yêu thương .,0
ViHSD,train,82,2,Ai cũng về già lo tu thân sám hối là điều lựa chọn tốt nhất .,0
ViHSD,train,82,3,Chúc ông @username sống lâu 130 tuổi và luôn khỏe mạnh đẹp lão .,0
ViHSD,train,83,0,Mấy thằng già làm bộ trưởng này nọ mà đầu óc thua cả 1 bác nông dân,2
ViHSD,train,84,0,@username huyền thoại :((,0
ViHSD,train,85,0,Sương mù là tại thiên tai !,0
ViHSD,train,86,0,Mình không quan tâm cô đơn cho lắm,0
ViHSD,train,87,0,Thế e thích làm phù thuỷ r bạn nam phải làm s đây a nhỉ 😆,0
ViHSD,train,88,0,Uầy tôi là cưng phán các ông ạ được vl a ưi =))),0
ViHSD,train,89,0,@username,0
ViHSD,train,90,0,ảnh này ở video Superheroo nghe buồn não ruột -__-,0
ViHSD,train,91,0,anh tik nói quá đúng luôn,0
ViHSD,train,92,0,@username :)),0
ViHSD,train,93,0,Ở đây ai là chủ ???,0
ViHSD,train,94,0,Minh mẫn vcl,1
ViHSD,train,95,0,Chú Bòn em chặt chứ ko ăn nha =))))))),0
ViHSD,train,96,0,Cực kì thuyế ... hác xì .... á chết mẹ ..,0
ViHSD,train,97,0,@username tôi toàn nghe nhạc của @username ! @username ! Nghe mấy bài này ko thấm nổi,0
ViHSD,train,98,0,@username người ta nói bạn đợi nhưng bạn có biết bạn đang đợi cái lone gì không Hay là đợi thiệp hồng,0
ViHSD,train,99,0,"Có anh @username , Tết lúc nào chả vui",0
ViHSD,train,100,0,Nghe nói trước đây 1 số thành phần người hà nội kì thị dân vĩnh phúc đúng không nhỉ .,0
ViHSD,train,100,1,Bh sao thì mấy ngừoi đó bị lây hết chưa ấy nhể,0
ViHSD,train,101,0,@username =)),0
ViHSD,train,102,0,@username thua tại dốt av qa :v,0
ViHSD,train,103,0,😞,0
ViHSD,train,104,0,Dần dần thấy jack mất hay,0
ViHSD,train,105,0,Dì 3 ê dì 3_ là trai hay gái ạ,0
ViHSD,train,106,0,Vợ Cuốc sư là @username còn vợ nhỏ là lisa phạm,0
ViHSD,train,107,0,Trước khi cắm lên đầu em 4 cái sừng nó cũng bảo y như thế :((((,0
ViHSD,train,108,0,éo nha liu liu,1
ViHSD,train,109,0,#NAME ?,0
ViHSD,train,110,0,Cận thận nhà ae,0
ViHSD,train,111,0,Idol,0
ViHSD,train,112,0,@username ghê tr nay văn chương dữ hén,0
ViHSD,train,113,0,xin ạ,0
ViHSD,train,114,0,@username,0
ViHSD,train,115,0,@username,0
ViHSD,train,116,0,"có một sự tồn tại của đàn bò mang tên "" cực kỳ thuyết phục "" , có sở thích là nhai đi nhai lại , mục đích của chúng trên hành tinh này vẫn chưa có lời giải đáp , theo như các nhà động vật học cho biết loài bò này có lối sống hoang dâm trụy lạc , có thể động dục bất cứ lúc nào , con số của loài này đang được gia tăng đáng kể .",2
ViHSD,train,117,0,Ck4mk4m là gì á mn,0
ViHSD,train,118,0,Cho toyy xin in4 FB hoặc sđt zalo hay ig được hong :33,0
ViHSD,train,119,0,Chị chữi là chị cứu nhân độ thế 🤣 🤣,0
ViHSD,train,120,0,Nghi vấn thầy chà trộn TTBL tu,0
ViHSD,train,121,0,@username clm đến v thì /ff,1
ViHSD,train,122,0,Dao chặt không đứt kkkkk 🤣 🤣 🤣 🤣 🤣 🤣,0
ViHSD,train,123,0,@username cái giọng điệu nói cảm thấy hao hao giống ..!,0
ViHSD,train,124,0,Nhanh thực sự,0
ViHSD,train,125,0,@username máy bay phalcon 10 tỷ belike :,0
ViHSD,train,126,0,So Pre Tài Trợ Độ Tây Ngày Hôm Ngày =)),0
ViHSD,train,127,0,Nghe kể chuyện tí rồi làm tiếp a @username :))),0
ViHSD,train,128,0,@username từ tư 😁,0
ViHSD,train,129,0,Dep trai moi co nhieu dua yeu,0
ViHSD,train,130,0,Bt các bạn phan cuồng chửi vậy mik đã ko nêu ra ý kiến cá nhân,0
ViHSD,train,131,0,thêm một người bị cộng sản nhồi sọ không biết sao có thể nạo ra được hết chất bã trong đầu,2
ViHSD,train,132,0,Nghe giọng nứkg quá @username :)),1
ViHSD,train,133,0,ông làm bố tôi hơi lâu rồi đấy ' @username said,0
ViHSD,train,134,0,Vì refund top 1 nên tối nay mình xin phép ea .. blabla,0
