sent_idx,source_tokens,prediction_tokens,tag
0,"['dừa', 'lắm', '<unk>']","['vừa', 'lắm', '<unk>']","['O', 'O', 'O']"
1,"['bấp bênh', 'vl', 'thế']","['bấp bênh', 'vl', 'thế']","['O', 'O', 'B-T', 'O']"
2,"['chắc', 'cũng', 'biết', 'ko', 'tồn tại', 'đc', 'bao lâu', 'nữa', 'nên', 'cố gắng', 'vét']","['chắc', 'cũng', 'biết', 'không', 'tồn tại', 'được<space>', 'bao lâu', 'nữa', 'nên', 'cố gắng', 'vét']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T']"
3,"['thấy', 'chán', 'ad', 'page', 'này', 'kiến thức', 'thì', 'nông', 'cản', 'cái', 'gì', 'cũng', 'auto', 'sủa', ',', 'cái', 'nhìn', 'thì', 'tiêu cực', ',', 'nói chung', 'là', 'dốt', 'còn', 'nát']","['thấy', 'chán', 'ad', 'page', 'này', 'kiến thức', 'thì', 'nông', 'cản', 'cái', 'gì', 'cũng', 'auto', 'sủ<space>', ',', 'cái', 'nhìn', 'thì', 'tiêu cực', ',', 'nói chung', 'là', 'd<space>', 'còn', 'nát']","['O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'B-T', 'O', 'B-T']"
4,"['@username', 'trend', 'mới', 'kìa', 'kìa']","['@username', 'trend', 'mới', 'kìa', 'kìa']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['đcm', '<unk>', 'sau', 'có', 'con', 'cho', 'hút', 'cỏ', 'chữa', 'bệnh', 'chứ', 'đéo', 'đưa', 'đi', 'bệnh viện', '<unk>']","['đcm', '<unk>', 'sau', 'có', 'con', 'cho', 'hút', 'cỏ', 'chữa', 'bệnh', 'chứ', 'đéo', 'đưa', 'đi', 'bệnh viện', '<unk>']","['B-T', 'B-T', 'O', 'O', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'B-T']"
6,"['má', 'nứng', 'quá', 'aiu', 'ơi']","['má', 'n<space><space>', 'quá', 'anh yêu', 'ơi']","['B-T', 'B-T', 'O', 'O', 'O']"
7,"['chụp', 'cái', 'ảnh', 'thôi', 'làm', 'đéo', 'gì', 'đâu', 'mà', 'phiền']","['chụp', 'cái', 'ảnh', 'thôi', 'làm', 'đéo', 'gì', 'đâu', 'mà', 'phiền']","['O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O']"
8,"['tăng', 'theo', 'giờ', '<unk>', '<unk>', '<unk>']","['tăng', 'theo', 'giờ', '<unk>', '<unk>', '<unk>']","['O', 'O', 'O', 'O']"
9,"['cực kì', 'thuyết phục', ':', 'c']","['cực kì', 'thuyết phục', ':', 'cậu']","['O', 'O', 'O', 'O', 'O']"
10,"['@username', 'vậy mà', 'ca ngợi', 'bên', 'kia', 'lắm', '...', 'về', 'làm', 'lol', 'gì']","['@username', 'vậy mà', 'ca ngợi', 'bên', 'kia', 'lắm', '...', 'về', 'làm', 'lol', 'gì']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O']"
11,"['thằng', 'chó']","['thằng', 'chó']","['B-T', 'I-T']"
12,"['loại', 'nghiện', 'game', '+', 'săm', 'trổ', 'k', 'có', 'tương lai', 'đâu', 'nha']","['loại', 'nghiện', 'game', '+', 'săm', 'trổ', 'không', 'có', 'tương lai', 'đâu', 'nha']","['B-T', 'I-T', 'O', 'O', 'B-T', 'I-T', 'O', 'O', 'O', 'O', 'O', 'O']"
13,"['@username', 'ai', 'chê', 'nghèo', 'ngta', 'có', 'tiền', 'đi', 'nước', 'nào', 'kệ', 'mẹ', 'người', 'ta', ',', 'nó', 'vẫn', 'mang', 'qtich', 'vn', 'thì', 'về', 'vn', 'chữa', 'vn', 'đã', 'cấm', 'đâu', 'mà', 'lên tiếng', 'lm', 'gì', '.']","['@username', 'ai', 'chê', 'nghèo', 'người ta', 'có', 'tiền', 'đi', 'nước', 'nào', 'kệ', 'mẹ', 'người', 'ta', ',', 'nó', 'vẫn', 'mang', 'quan tich', 'v nam', 'thì', 'về', 'việt nam', 'chữa', 'việt nam', 'đã', 'cấm', 'đâu', 'mà', 'lên tiếng', 'làm<space>', '<space>', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'O', 'O', 'B-T', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-T', 'I-T']"
